date,cat1,words1,cat2,words2,cat3,words3,cat4,words4
2026-09-08,PARTS OF THE HOUSE,"BUTTON, EIGHT-FOOT, FOUR-FOOT, TWELVE-FOOT",TYPES OF CURLING SHOTS,"DRAW, FREEZE, GUARD, TAKEOUT",EQUIPMENT ON THE ICE,"BRUSH, GRIPPER, SLIDER, STONE",WORDS BEFORE 'LINE' IN CURLING,"BACK, CENTRE, HOG, TEE"
2026-09-09,TRADITIONAL TEAM POSITIONS,"LEAD, SECOND, THIRD, SKIP",BASIC CURLING SHOTS,"PEEL, RAISE, TAP, WICK",ICE CONDITIONS,"FALL, FROST, PEBBLE, RUN",THINGS A SKIP MIGHT CALL FOR,"CLEAN, HARD, SWEEP, WHOA"
2026-09-10,SCORING OUTCOMES OF AN END,"BLANK, FORCE, MULTIPLE, STEAL",SECTIONS OF A CURLING STONE,"BOLT, HANDLE, RUNNING SURFACE, STRIKING BAND",ACTIONS THAT CAN CAUSE A VIOLATION,"BURN, DOUBLE TOUCH, HOG, OVERTIME",WORDS STARTING WITH 'FREE',"AGENT, GUARD, STYLE, WHEEL"
2026-09-11,TYPES OF GUARDS,"CENTRE, CORNER, HIGH, TIGHT",CURLING DELIVERY PHASES,"EXTENSION, RELEASE, SLIDE, STANCE",HISTORIC SCOTTISH CURLING SITES,"DUDDINGSTON, KILSYTH, PARTICK, STIRLING",WORDS THAT CAN FOLLOW 'OUT',"CURL, END, TURN, WEIGHT"
2026-09-12,CANADIAN NATIONAL CHAMPIONSHIPS,"BRIER, HEARTS, MASTERS, SENIORS",ROLES OF THE VICE-SKIP,"ALTERNATE, CO-SKIP, MATE, MEASURE",RESULTS OF A MISSED SHOT,"FLASH, HEAVY, NARROW, WIDE",SLANG FOR CURLING STONES,"CHEESE, GRANITE, POTS, ROCKS"
2026-09-13,PURPOSES OF SWEEPING,"CLEAN, EXTEND, HOLD, REDUCE",TYPES OF HITS,"DOUBLE, HIT-AND-ROLL, JAM, RUNBACK",FAMOUS CANADIAN SKIPS,"FERBEY, GUSHUE, HOWARD, KOE",THINGS MEASURED IN CURLING,"ANGLE, DISTANCE, PERCENTAGE, TIME"
2026-09-14,COUNTRIES WITH OLYMPIC CURLING GOLD,"CANADA, GREAT BRITAIN, SWEDEN, SWITZERLAND",TYPES OF TURNS ON DELIVERY,"CLOCKWISE, COUNTER, IN-TURN, OUT-TURN",CURLING FACILITY AREAS,"HACK, HOUSE, LOUNGE, SHED",WORDS THAT CAN PRECEDE 'STONE',"BUTTON, CAP, CORNER, MILE"
2026-09-15,WOMEN'S WORLD CHAMPION SKIPS,"HASSELBORG, HOMAN, JONES, TIRINZONI",BRUSH HEAD MATERIALS,"FABRIC, FOAM, HORSEHAIR, NYLON",MIXED DOUBLES TERMS,"DEFICIT, OPTION, PLACED, POWERPLAY",THINGS FOUND ON A CURLING SHEET,"BUTTON, DIVIDER, HACK, PEBBLE"
2026-09-16,ICE BEHAVIOUR CHARACTERISTICS,"BACKUP, CURL, FALL, RUN",TACTICAL REASONS TO THROW A DRAW,"BURIED, FREEZE, NOSE, SPLIT",PARTS OF A CURLING SHOE,"EYELET, GRIPPER, SLIDER, TEFLON",WORDS THAT FOLLOW 'CURLING',"BROOM, CLUB, IRON, STONE"
2026-09-17,HISTORIC BRIER TROPHY SYMBOLS,"CREST, EMBLEM, HEART, TANKARD",SHOT WEIGHTS LIGHT TO HEAVY,"BUMPER, CONTROL, DRAW, HACK",FAMOUS SCOTTISH MEN'S SKIPS,"BREWSTER, HARDIE, MCMILLAN, MOUAT",WORDS MEANING 'TO REMOVE A STONE',"CHIP, HIT, KILL, PEEL"
2026-09-18,BODY PARTS USED IN A CURLING SLIDE,"FOOT, HEEL, KNEE, TOE",SHOT WEIGHTS HEAVIER THAN DRAW,"FIRM, NORMAL, PEEL, TAKEOUT",WHEELCHAIR CURLING SPECIFICS,"BRAKE, CUE, EXTENDER, STICK",WORDS THAT RHYME WITH 'HACK',"BACK, CRACK, PACK, TRACK"
2026-09-19,AILSA CRAIG GRANITE VARIETIES,"BLUE, COMMON, GREEN, RED",PROTECTED AREAS IN FREE GUARD ZONE,"BITER, CENTRE, CORNER, WING",DEFENSIVE STRATEGIES,"BLANK, CLEAN, FORCE, PEEL",WORDS BEFORE 'WEIGHT',"BACK, DRAW, HACK, TAKE"
2026-09-20,TOOLS USED BY CURLING UMPIRES,"GAUGE, LASER, MICROMETER, WAND",CURLING APPAREL,"GLOVES, MITTS, PANTS, VEST",SWEDISH CURLING LEGENDS,"EDIN, HASSELBORG, LINDAHL, NORBERG",ACTIONS INVOLVING THE BROOM,"BRUSH, CLEAN, SIGNAL, STACK"
2026-09-21,RINGS FORMING THE HOUSE,"BUTTON, EIGHT, FOUR, TWELVE",POINT VALUES SCORED IN AN END,"DEUCE, FOUR, SINGLE, THREE",COUNTRIES IN WORLD MEN'S PLAYOFFS,"GERMANY, ITALY, NORWAY, USA",WORDS THAT CAN FOLLOW 'SWEEP',"CLEAN, HARD, OFF, UP"
2026-09-22,BONSPIEL TRADITIONS,"BANQUET, BRACKET, CALCUTTA, PIN",ICE PREPARATION ACTIONS,"FLOOD, NIP, PEBBLE, SCRAPE",ROLES OF THE LEAD,"BRUSH, COMMUNICATE, DELIVER, SETUP",WORDS MEANING 'ACCIDENTAL CONTACT WITH STONE',"BURN, FOUL, KICK, TOUCH"
2026-09-23,REASONS TO CALL A TIMEOUT,"ANGLE, BROOM, STRATEGY, WEIGHT",GRAND SLAM OF CURLING EVENTS,"MASTERS, NATIONAL, OPEN, PLAYERS",STONE POSITIONS RELATIVE TO GUARDS,"BURIED, CORNER, EXPOSED, OPEN",THINGS WITH 'RINGS',"BINDER, CIRCUS, HOUSE, TREE"
2026-09-24,WOMEN'S OLYMPIC GOLD MEDALLIST SKIPS,"HASSELBORG, JONES, MARTIN, MUIRHEAD",ICE REFRIGERATION SYSTEM PARTS,"BRINE, CHILLER, COMPRESSOR, PIPE",SHOTS REQUIRING FINESSE WEIGHT,"COME-AROUND, DRAW, FREEZE, TAP",WORDS STARTING WITH 'HOG',"CALL, LINE, NOSE, ROAST"
2026-09-25,ANGLE-BASED CURLING SHOTS,"DEFLECTION, PROMOTION, RAISE, WICK",STRATEGIES TO KEEP HOUSE CLEAN,"FLUSHING, HITTING, PEELING, TICKING",THINGS THAT ALTER STONE CURL,"DUST, FROST, ROTATION, SPEED",FOUR-LETTER CURLING TERMS,"DRAW, HACK, LINE, RING"
2026-09-26,FAMOUS SWISS SKIPS,"DE CRUZ, SCHWALLER, STOECKLI, TIRINZONI",PURPOSES OF A FREEZE SHOT,"DEFEND, JAM, NEUTRALIZE, TIE",HISTORIC CURLING TROPHY FORMS,"BOWL, BROOM, CUP, TANKARD",ACTIONS OF A SKIP,"CALL, DIRECT, READ, THROW"
2026-09-27,VERBAL CALLS FOR DIRECTIONAL SWEEPING,"CARVE, FINISH, HOLD, STRAIGHT",ICE SURFACE IMPERFECTIONS,"FLAT, FROST, PICK, RUT",COMPETITIVE CURLING FORMATS,"KNOCKOUT, PAGE, POOL, ROUND-ROBIN",WORDS BEFORE 'END',"BLANK, EXTRA, FINAL, TIE"
